trait,facebook_avg_mae,pan15_avg_mae,facebook_avg_rmse,pan15_avg_rmse,facebook_avg_mse,pan15_avg_mse
OPN,0.11065177261715842,0.1491755425767834,0.14825723814936406,0.17415567880714367,0.3525187777624047,0.486057275980485
CON,0.14517826113057514,0.17308040340741476,0.1856690888459729,0.21499875600279578,0.5636654424155144,0.7453090245256232
EXT,0.18119993369219797,0.16299938302867267,0.22605990353153457,0.20731389782149198,0.8264674585861871,0.6946661600030011
AGR,0.13120499551561143,0.13361179282876096,0.1654442607104956,0.17361551000548509,0.4434825458092265,0.48289732372574923
NEU,0.15724419891446356,0.20651467230652468,0.19646686583835718,0.24650180507369313,0.6248648376243062,0.973290345473286
