trait,facebook_avg_mae,pan15_avg_mae,facebook_avg_rmse,pan15_avg_rmse,facebook_avg_mse,pan15_avg_mse
OPN,0.144544335718905,0.10335246417342678,0.1746641715388074,0.12742138057922475,0.4926220030129541,0.26118467272652063
CON,0.15255314826161676,0.11215845467645758,0.19296863762264074,0.139936710465769,0.5960823187292104,0.3145292673879071
EXT,0.18278816275382312,0.11403751104251465,0.221886361780857,0.14598503434331228,0.7879318095981169,0.3448245813137391
AGR,0.13866761451222925,0.1082959984552087,0.17301037205747,0.14640336321564937,0.47904687902482773,0.34428869791294914
NEU,0.17775854167141275,0.16876092111050633,0.2169160070620923,0.20949889428352586,0.754783946762022,0.7069413354680777
