trait,facebook_avg_mae,pan15_avg_mae,facebook_avg_rmse,pan15_avg_rmse,facebook_avg_mse,pan15_avg_mse
OPN,0.10536647205201406,0.14944787784498567,0.1428286919619219,0.17663925820625254,0.32754882126599316,0.5004428877900863
CON,0.14364901898380308,0.18007810863913326,0.18339900783335122,0.2213587315973335,0.5510478033011478,0.7912126317692367
EXT,0.17965121769583417,0.17386134035327805,0.2151336826418945,0.21825121526850025,0.7550806003034486,0.7757411370155433
AGR,0.12522738702316133,0.12485550058131316,0.15702981923073456,0.16566498556898904,0.3996027578362329,0.44000296916124865
NEU,0.14988454617952546,0.21198576317555246,0.18647031934822494,0.24985676907735468,0.5624924894160999,1.0016585952040895
