trait,fold,facebook_mae,pan15_mae,facebook_rmse,pan15_rmse,facebook_mse,pan15_mse
OPN,0,0.11094264692730374,0.15788633673369482,0.15336963302030937,0.18748118862796326,0.3763559064839874,0.5623871540295842
OPN,1,0.10785549130704668,0.1470990571035009,0.13973482739236395,0.17364505230122326,0.3124131985025904,0.48244166721872145
OPN,2,0.09195501916938358,0.14271928818047455,0.13145136061924106,0.16582308256987743,0.27647137767755997,0.4399567279125255
OPN,3,0.10124406746455601,0.15434210312609772,0.15189922219063173,0.18628907087608262,0.3691740251063158,0.5552579074287531
OPN,4,0.1148351353917803,0.1451926040811604,0.1376884165870634,0.1699578966561161,0.303329598559512,0.46217098236084747
CON,0,0.14224064449469248,0.20728576710434998,0.17785809072349446,0.2523660811462509,0.5061360113540413,1.0190182205809009
CON,1,0.14441218806637657,0.15541714604209073,0.1899725997967407,0.1887149925045305,0.5774334171689502,0.5698135739949348
CON,2,0.11194910569323434,0.16896221449180526,0.14358787646403134,0.2113070073883934,0.3298796489891281,0.7144104186652207
CON,3,0.18385108879634313,0.17861573625178565,0.23121126176093218,0.2217670319803084,0.855338361041317,0.7868898637723928
CON,4,0.13579206786836895,0.19010967930563455,0.17436521042155753,0.23263854496718445,0.48645157795230204,0.8659310818327347
EXT,0,0.19189811117119263,0.16353524870612993,0.23121449675244615,0.21059944461562136,0.8553622862743221,0.7096340200015563
EXT,1,0.1684252456823985,0.17291879949926517,0.19977870024267588,0.22015125114221007,0.6385844672816069,0.7754651774244993
EXT,2,0.2251053739587466,0.22557115826477,0.2659342473282174,0.27291514092318636,1.1315363583344324,1.1917228005846532
EXT,3,0.14704403144972666,0.15334084137361875,0.1807788508425709,0.1922730493234727,0.522895891525204,0.5915028058619444
EXT,4,0.16578332621710645,0.15394065392260647,0.19796211804356192,0.19531719033801073,0.6270239981016777,0.6103808812050634
AGR,0,0.11718745956818262,0.13133823567507216,0.14599796441413015,0.17142511733896176,0.341046500039853,0.47018513794986944
AGR,1,0.10436736345291138,0.11739373215201762,0.14162040005026066,0.15942716437409782,0.320901403366334,0.4066723307407345
AGR,2,0.11181763456927407,0.13254313367564663,0.1438425804571117,0.17623957927087797,0.3310510418859273,0.4969662375298154
AGR,3,0.1336142033168248,0.11879800229656454,0.16531642229786028,0.15605558082920143,0.43727231170183156,0.3896535089270307
AGR,4,0.1591502742086138,0.12420439910726484,0.18837172893431,0.1651774860318061,0.5677425321872185,0.4365376306587933
NEU,0,0.169861360722118,0.22307568346562034,0.2226514638237028,0.2633844227009277,0.7931787788346918,1.1099416619726215
NEU,1,0.13983737208777003,0.21047070690361014,0.17484240523696457,0.24542002378791,0.4891178837962972,0.9636958036837114
NEU,2,0.15730339285400183,0.1987794448729275,0.1918058928531178,0.23288144692173446,0.5886319770959096,0.8677403061170218
NEU,3,0.14054553289072855,0.20168826762510808,0.17286474654883557,0.24048809614422856,0.4781155092454001,0.9253524004864486
NEU,4,0.14187507234300883,0.2259147130104961,0.17018708827850407,0.2671098558319726,0.4634182981082008,1.1415628037606447
