trait,facebook_avg_mae,pan15_avg_mae,facebook_avg_rmse,pan15_avg_rmse,facebook_avg_mse,pan15_avg_mse
OPN,0.1430237605277072,0.11500175670738602,0.17460476707005165,0.1423747219838914,0.48893119361064896,0.32512358542792386
CON,0.15277563803919245,0.11376373004244478,0.19433167869870177,0.14477353545696642,0.6043858366441984,0.3364601528840149
EXT,0.18772389251730415,0.1297445427472657,0.2295220027243719,0.1644195228251341,0.8460575620009034,0.4331845237719737
AGR,0.139262507940946,0.11860311354272621,0.17535269339646392,0.1580336519219917,0.4921523674134599,0.4012012363668953
NEU,0.18266686158300785,0.18554158997905407,0.22425704997855603,0.22730902115688897,0.8098702851701576,0.8331151343531037
