trait,fold,facebook_mae,pan15_mae,facebook_rmse,pan15_rmse,facebook_mse,pan15_mse
OPN,0,0.14307014596596193,0.11024117388967741,0.1743141214333794,0.13317247841048613,0.4861666200815811,0.2837585302776495
OPN,1,0.15365317007129112,0.11289611751750367,0.18701782683740775,0.14345475978583744,0.559610682482507,0.3292683065909946
OPN,2,0.13228867771920194,0.11217757665504846,0.1641675553692323,0.13764928141092467,0.4312157801486003,0.30315721175407456
OPN,3,0.1382362772507614,0.12153690810930934,0.1669669721389546,0.15416531429403108,0.4460475168481081,0.38027109113967805
OPN,4,0.1478705316313197,0.11815700736539118,0.18055735957128413,0.14343177601817753,0.5216153684924483,0.3291627873772225
CON,0,0.15253470364581334,0.11375384371159443,0.19617368167298918,0.14193794421895972,0.6157458135734701,0.3223420768353685
CON,1,0.15659402815143714,0.10785716994334078,0.19441383340657503,0.13260927313152893,0.604747826394639,0.28136348891700874
CON,2,0.1493163999814666,0.10171844029830673,0.19078275872764125,0.14112989185969507,0.58236897644367,0.31868234958985375
CON,3,0.15031045598930187,0.12418773558180213,0.1913196407344636,0.15548097601211786,0.5856512788922275,0.3867893447820293
CON,4,0.15512260242794337,0.12130146067717981,0.19896847895183972,0.15270959206253057,0.6334152879169859,0.373123504295814
EXT,0,0.18472364328550486,0.13312289270304017,0.2246155007747547,0.1636828842881984,0.8072339592329667,0.4286733723999292
EXT,1,0.2086877471811316,0.12477511905007446,0.25719788074396543,0.16117269564127076,1.0584120164162114,0.41562621393364474
EXT,2,0.18522265538740693,0.12591586628202667,0.22614528381940352,0.16172802611087703,0.8182670278211714,0.41849527244394386
EXT,3,0.1842158913143565,0.12415320287316532,0.22076689031169186,0.15879428400867307,0.779808313866996,0.40344999441281176
EXT,4,0.17576952541812083,0.1407556328280219,0.218884457972044,0.17671972407665124,0.7665664926671714,0.49967776566953903
AGR,0,0.14304741422781783,0.11921237838470329,0.17632604731128695,0.1722099722771638,0.49745399382903016,0.4745003821760331
AGR,1,0.13415266584814264,0.12660624021190708,0.1697441234051934,0.16734444641188873,0.4610090836156987,0.44806662787909823
AGR,2,0.1398849843861012,0.11514587654905803,0.17440462195670872,0.151661367345006,0.4866715501020721,0.3680187320960203
AGR,3,0.13665817633773503,0.11587035565053003,0.17642807216626297,0.15318344107891765,0.4980298317967005,0.37544266632162454
AGR,4,0.14256929890493328,0.11618071691743259,0.17986060214286745,0.14576903249698228,0.5175973777237981,0.3399777733617004
NEU,0,0.17103633490171327,0.20190984637050308,0.20926864197410772,0.24652501296770257,0.7006938209081361,0.97239333246023
NEU,1,0.17513031214140776,0.19960885686894594,0.21381909754437617,0.23765190238876882,0.7314977136964405,0.903654813190963
NEU,2,0.17115406974647823,0.15677313910702528,0.20980371964530664,0.19732780154346483,0.7042816203375714,0.6230121789449038
NEU,3,0.20655110547046981,0.20399464462268152,0.25625186861071275,0.24521665893861178,1.0506403230256767,0.9620993660807405
NEU,4,0.18946248565497018,0.16542146292611443,0.23214192211827678,0.2098237299458969,0.8622379478829633,0.704415981088681
