trait,facebook_avg_mae,pan15_avg_mae,facebook_avg_rmse,pan15_avg_rmse,facebook_avg_mse,pan15_avg_mse
OPN,0.1546897048197095,0.18383401421868073,0.203466626024465,0.23180181051965412,0.6746758664208792,0.865227187187539
CON,0.16267553109498253,0.21656882656877544,0.20481420848632328,0.26258923341545565,0.6928569571526707,1.1069037196504605
EXT,0.196392021360473,0.21268167172907057,0.23884850337329047,0.2641725645173071,0.9202477865390403,1.1335224437987943
AGR,0.1552980897121959,0.16822653696447815,0.19653174824162606,0.20995472900468762,0.6251915015036976,0.7100488489253676
NEU,0.16719631356606407,0.21161501536057115,0.203142841558207,0.2546232489103172,0.6677480918007286,1.038116994757487
