trait,facebook_avg_mae,pan15_avg_mae,facebook_avg_rmse,pan15_avg_rmse,facebook_avg_mse,pan15_avg_mse
OPN,0.1518338470914391,0.10837816537854827,0.18198657423803835,0.13137423201526452,0.5299625016125071,0.27773866789773655
CON,0.15473333520835708,0.11475720080174182,0.19546441510638152,0.14343452450670477,0.6128973598111875,0.33152834664304376
EXT,0.1829880484905136,0.12094846552049536,0.22503306055514663,0.15438938399748764,0.810947462861382,0.3863370455140638
AGR,0.14779194657722217,0.11575083547590212,0.180686425926956,0.1488762524529813,0.5241560285859752,0.35767563351335463
NEU,0.18082924511660353,0.1596643461707777,0.2227967092599194,0.19516705875606716,0.7958464312961797,0.6166483002711253
