trait,facebook_avg_mae,pan15_avg_mae,facebook_avg_rmse,pan15_avg_rmse,facebook_avg_mse,pan15_avg_mse
OPN,0.13849572194560192,0.10985929272524593,0.17005551805567562,0.13591601387757066,0.46361779313450846,0.2962723131964333
CON,0.15334562900494997,0.11065052601414631,0.1944673205332144,0.1401126430607943,0.6054407285225155,0.31483904936027707
EXT,0.1806472471121992,0.12065176973281584,0.21999401483537376,0.15387807718069896,0.7744466067719322,0.3803324013554691
AGR,0.14142991170990332,0.11605518369734599,0.17692220339119566,0.15315482455457774,0.5016793853643973,0.3759007298645841
NEU,0.18579601647378358,0.1782943769004403,0.22683544047633813,0.21835648109111064,0.8258058979742973,0.7698566359863405
