trait,facebook_avg_mae,pan15_avg_mae,facebook_avg_rmse,pan15_avg_rmse,facebook_avg_mse,pan15_avg_mse
OPN,0.17962681861941734,0.11602212277648745,0.2091448562402615,0.13718422292676077,0.7132253786464456,0.3041597780564095
CON,0.15866394766930783,0.11568568453218839,0.19999559836760702,0.14388704693619575,0.6422479409039996,0.3325555096363741
EXT,0.17853201111380973,0.11820545642958406,0.21844756052388745,0.1550457590162133,0.7636092323999427,0.3870188313111389
AGR,0.1573194501922372,0.11962165258524363,0.18993559076978417,0.15737554923759536,0.5846833803425614,0.3993611679041872
NEU,0.17664949922213394,0.15997213799883095,0.21932704461644964,0.19364555247390033,0.7713716348864572,0.6021709459597908
