,dim,facebook_mae,pan15_mae,facebook_rmse,pan15_rmse,facebook_mse,pan15_mse
0,OPN,0.12206822348725521,0.13320086548864046,0.15119359789704215,0.1520558935837703,0.36673811286745955,0.37032260633908787
1,CON,0.15658763444553203,0.1257899822176903,0.19374461487306277,0.14986215954992937,0.6166872013598406,0.3607694951202809
2,EXT,0.19112222150670582,0.12996077943718368,0.23350755937543602,0.1627997466521557,0.8840423382968053,0.4249689308859107
3,AGR,0.13461200321696176,0.11809219443649974,0.1630629541349636,0.1550766821760164,0.4299538591809431,0.38731062002062167
4,NEU,0.1549761599951917,0.1905366775681759,0.18992063655314112,0.2241634984772794,0.5897772429653962,0.820182917246342
