,dim,facebook_mae,pan15_mae,facebook_rmse,pan15_rmse,facebook_mse,pan15_mse
0,OPN,0.1207216760156901,0.1350916277563449,0.15103134204194663,0.15313259012054461,0.36594995279485426,0.37561653510326487
1,CON,0.14859662274345373,0.12751949424247355,0.18674823270251753,0.15845938966361278,0.5738548303029494,0.4045658467536197
2,EXT,0.17906554513561557,0.14860789591949192,0.2146714815443099,0.18976687680442914,0.7428463549344835,0.5793340883625071
3,AGR,0.13416180783223036,0.11791013138950676,0.16294240945868044,0.15557453512503033,0.4286554476577923,0.3900886926414368
4,NEU,0.15390940714215362,0.1936163882832292,0.1876314661649863,0.22742291271502144,0.5740311427526084,0.8436161299009918
