trait,facebook_avg_mae,pan15_avg_mae,facebook_avg_rmse,pan15_avg_rmse,facebook_avg_mse,pan15_avg_mse
OPN,0.11037475801536015,0.15312560177984694,0.14550953074138262,0.18176662630483323,0.34018233999102865,0.5294482284898547
CON,0.14783713557795872,0.16061850140694858,0.18529596664710324,0.19774334583747805,0.5602447820209108,0.6276619073417695
EXT,0.17383790222292855,0.15382686980727578,0.21364769526673832,0.1950510895189516,0.7488089859861391,0.6131090593294142
AGR,0.1274584373725785,0.13141907752371157,0.15857150774097223,0.1726177531953192,0.40759189193784034,0.4792930634624666
NEU,0.15220924480037085,0.20970734520023374,0.19117028990392043,0.24830095864457685,0.591153912401536,0.9875979548692913
