trait,facebook_avg_mae,pan15_avg_mae,facebook_avg_rmse,pan15_avg_rmse,facebook_avg_mse,pan15_avg_mse
OPN,0.16075089892644562,0.10816740002568044,0.19074909480296992,0.1304233572246502,0.5857871131525549,0.2744105220420486
CON,0.15072105841690236,0.1136866938747348,0.1908457421290479,0.1413011465231003,0.5828257162441385,0.32243787591260575
EXT,0.1780591686522023,0.11527587572675502,0.21718910323515553,0.1481718887144901,0.754775453728653,0.35393110257896454
AGR,0.14539530843831183,0.11099966862060953,0.17684463995356753,0.14490028236775293,0.5018744840372332,0.338048704034651
NEU,0.17977206532740864,0.16471137310044587,0.22358298496875104,0.20058599562246643,0.8017493106548791,0.6469762868591198
