trait,fold,facebook_mae,pan15_mae,facebook_rmse,pan15_rmse,facebook_mse,pan15_mse
OPN,0,0.1702183444178506,0.09250815399622514,0.20034356436186793,0.11299753901826393,0.6422006968140581,0.20429509138430346
OPN,1,0.17133262658387086,0.10781512381666798,0.19999905493197312,0.13103913251367436,0.6399939499783529,0.27474006009935775
OPN,2,0.15092276715160755,0.1085989333815494,0.18205406021405665,0.12497207477199143,0.5302988908213762,0.24988833114434036
OPN,3,0.13373903783519617,0.11087299363087802,0.16533154342471837,0.13379235281308446,0.43735231068758396,0.2864063066182318
OPN,4,0.1775417186437028,0.12104179530308166,0.2060172510822336,0.1493156870062369,0.6790897174614038,0.35672282096400937
CON,0,0.1540485861997926,0.10644857580378907,0.19502861461092338,0.1382790972888237,0.6085785583953006,0.30593774750251296
CON,1,0.14880666060394115,0.12458879503153139,0.1893669882819493,0.14810528940755568,0.5737577000156149,0.3509628280079331
CON,2,0.15099054485224608,0.09184793092436708,0.1896959641543417,0.11962285750021316,0.5757529438436003,0.22895404858426088
CON,3,0.14862757597076762,0.13081797987727795,0.18965801120363387,0.1613454564116691,0.5755225787442483,0.4165176943993952
CON,4,0.15113192445776436,0.11473018773670854,0.19047913239439115,0.13915303200723989,0.580516800221928,0.30981706106892676
EXT,0,0.18094087161374897,0.1016610650692956,0.21724501022610143,0.12839739811730258,0.7551263114902226,0.2637742746821215
EXT,1,0.17708541264025016,0.1227600526001494,0.21988488803296458,0.15587667809251624,0.7735898281040288,0.38876061608822704
EXT,2,0.17855848866232324,0.11301958278074105,0.2172251636710851,0.14808091132520854,0.7549883521878228,0.3508473058322903
EXT,3,0.17748969791980276,0.10873183315083133,0.21523016212913976,0.14191159748140145,0.7411843630421726,0.32222242481254426
EXT,4,0.1762213724248865,0.13020684503275773,0.21636029211648658,0.16659285855602182,0.7489884138190179,0.4440508914796398
AGR,0,0.16175347239783644,0.12355467505374197,0.1951130001655748,0.15829285974216759,0.6091053244950221,0.4009060711256566
AGR,1,0.14779369711875917,0.11999787880202471,0.17799233634389075,0.15890155031597072,0.5069003487545077,0.4039952501086908
AGR,2,0.13866919963547356,0.1039687614319688,0.1685827951784868,0.14036289884734976,0.4547225412830661,0.3152278933807485
AGR,3,0.14012521647335438,0.10202341554528575,0.17151895112595064,0.13233920488475046,0.4707000095255399,0.2802186422184602
AGR,4,0.13863495656613556,0.10545361227002636,0.17101611695393482,0.13460489804852602,0.46794419612803057,0.28989566333969874
NEU,0,0.17112048783663955,0.18549211431862947,0.21240592672734623,0.2215260765109977,0.7218604538848846,0.7851808847269395
NEU,1,0.17545241085331095,0.16608457543839847,0.21417945921480674,0.20052464621676463,0.7339654397890875,0.6433621545173595
NEU,2,0.18426437752970148,0.15236924447245517,0.23269743301785098,0.18399637518164744,0.8663695077338914,0.5416746763969572
NEU,3,0.19083018383283293,0.17325569663386226,0.24021888958599913,0.21034675155205043,0.9232818437405355,0.7079321003656524
NEU,4,0.17719286658455818,0.14635523463888417,0.2184132162977522,0.186536128650872,0.7632693081259968,0.5567316182886907
