trait,facebook_avg_mae,pan15_avg_mae,facebook_avg_rmse,pan15_avg_rmse,facebook_avg_mse,pan15_avg_mse
OPN,0.1353261269451527,0.10429024028401848,0.168321786207498,0.12594350057042672,0.4537511770166761,0.25430525611312604
CON,0.1533223140748699,0.10800951186395542,0.1935175128000275,0.1367987029341611,0.5995500902362868,0.30157224081718503
EXT,0.18640919191114022,0.11109928619854637,0.22692928532822712,0.1433986661529187,0.8258435730397252,0.33154480850709467
AGR,0.1392159842493829,0.1030310379580961,0.1728275841991978,0.13944370837229286,0.47796825403778814,0.3128877377111277
NEU,0.17758799282687435,0.15954477144062326,0.2173935068651555,0.19700363638218382,0.7565815944628844,0.6258979658896854
