trait,fold,facebook_mae,pan15_mae,facebook_rmse,pan15_rmse,facebook_mse,pan15_mse
OPN,0,0.17068610901243228,0.09565965482744121,0.20094741353352977,0.11651350374060489,0.6460778062320013,0.21720633136709044
OPN,1,0.1617007772440321,0.10342770693665847,0.1921439391681354,0.127455612954958,0.5907086902430072,0.2599189386012737
OPN,2,0.17300064120399816,0.1079791410494659,0.203631435969153,0.1242075284779062,0.6634521854891995,0.24684015817775984
OPN,3,0.17451221787527704,0.11105196475982668,0.20420569473778782,0.13224630871937695,0.6671994543652273,0.27982537870038143
OPN,4,0.16804299291600003,0.11786433972161393,0.19825892761533753,0.1448307935383492,0.6289056359329602,0.33561535206122955
CON,0,0.1502848675813568,0.10115066625304142,0.1883247688834411,0.13070758782343433,0.5674594972000241,0.2733515836873616
CON,1,0.14888476130667697,0.11507755800829096,0.18903412330892422,0.13389084257060757,0.5717423962634031,0.286828120420889
CON,2,0.15003508782118893,0.10128873829114234,0.19033995989650548,0.13189354490459196,0.5796688053344531,0.27833452226061234
CON,3,0.1584121468763673,0.13061330520500572,0.2004117857651022,0.15903298216945858,0.6426381426127752,0.4046638329217176
CON,4,0.14782991955789287,0.11184025632924048,0.18587421562426368,0.13734421708535088,0.5527875820620561,0.3018149434686078
EXT,0,0.18251525222585446,0.10667155617374485,0.22151032313022942,0.13572472511196607,0.7850691713198473,0.29473922562545546
EXT,1,0.1784339666232634,0.11942597092208217,0.2172541388074616,0.1504581019457212,0.7551897718075359,0.3622022548105562
EXT,2,0.17860645948501114,0.10864276956703704,0.21810090991870726,0.14231226799288327,0.7610881210305179,0.3240444990743162
EXT,3,0.17952074628197745,0.10720308049250458,0.22118219725089633,0.14024974498940285,0.7827450331668204,0.3147198535528905
EXT,4,0.19043275682443986,0.12529545220835456,0.23718882267054667,0.16811670398809261,0.9001365932373532,0.4522116056387361
AGR,0,0.14392351275079707,0.1078456822088209,0.17633641124738092,0.15005577333262343,0.49751248236010176,0.36026776176722647
AGR,1,0.14276611062917818,0.11474055455902875,0.1758898169016305,0.15539874713782428,0.49499564303502575,0.3863803162256229
AGR,2,0.14546194383267608,0.1010975243681568,0.18096478675177566,0.14011422731691558,0.5239720623761643,0.3141119471458606
AGR,3,0.14817948013209228,0.10436408499539909,0.18144651857680674,0.14307799651966832,0.5267654256582955,0.32754099958451083
AGR,4,0.1418774690989698,0.10335280741083211,0.1748654628566186,0.1278923898990724,0.48924688145802575,0.26170342116248124
NEU,0,0.16758761085821003,0.18610560515169372,0.20619416966082973,0.2263030681649451,0.6802565843126398,0.8194092551318539
NEU,1,0.18061209565133193,0.16833083993297515,0.2203415187164959,0.20856630963284867,0.7768061462699736,0.6959985048780174
NEU,2,0.1763109502631627,0.1284612820310108,0.21492867996568904,0.15711686587572476,0.7391093824107312,0.39497135915035053
NEU,3,0.18718508682559043,0.1830601541925285,0.23748256339519763,0.2133461683335648,0.902367492714726,0.7282654087653868
NEU,4,0.17795526589235566,0.1527679247637119,0.21739226847339188,0.18855323457717835,0.7561503695819227,0.5688371566791597
