trait,facebook_avg_mae,pan15_avg_mae,facebook_avg_rmse,pan15_avg_rmse,facebook_avg_mse,pan15_avg_mse
OPN,0.16958854765034792,0.10719656145900125,0.19983748220478872,0.12905074948623904,0.6392687544524791,0.267881231781547
CON,0.15108935662869655,0.11199410481734418,0.19079697069564733,0.1385738349106887,0.5828592846945424,0.30899860055183764
EXT,0.18190183628810927,0.11344776587274466,0.22304727835556828,0.1473723088056132,0.796845738112415,0.3495834877403909
AGR,0.14444170328874267,0.10628013070844752,0.17790059926684249,0.14330782684122081,0.5064984989775226,0.33000088917714043
NEU,0.17793020189813016,0.16374516121438404,0.21926784004232083,0.19877712931685235,0.7709379950579988,0.6414963369209536
