trait,facebook_avg_mae,pan15_avg_mae,facebook_avg_rmse,pan15_avg_rmse,facebook_avg_mse,pan15_avg_mse
OPN,0.15306523447358206,0.1079518924213724,0.18385981359059797,0.13005786354140175,0.5421868506165237,0.2728147524323402
CON,0.15552484131930916,0.11332192292344426,0.19592927873235877,0.1407188269786884,0.6145835920991719,0.3184210176476026
EXT,0.1801144730575969,0.11404357925414484,0.22023267309887973,0.1495628020946075,0.7761657937640034,0.3597222012844504
AGR,0.15335129142879103,0.11499299778915997,0.1863470863606212,0.15256041158929584,0.5593088950792577,0.37593420066452415
NEU,0.1775315712543016,0.16402809458411904,0.21683730068500412,0.19686375449690824,0.7530408901198842,0.6266852662205354
