trait,fold,facebook_mae,pan15_mae,facebook_rmse,pan15_rmse,facebook_mse,pan15_mse
OPN,0,0.11928228278954824,0.14527864119633527,0.1568575501801971,0.16810925286829362,0.39366865126628187,0.4521715364635814
OPN,1,0.11302425808376733,0.14828306943380917,0.1456796418281313,0.1727528518374448,0.3395609156198376,0.4774967918002591
OPN,2,0.10929740250110627,0.14185900635459797,0.14115828104104192,0.1649533198734919,0.31881056867132,0.435353566524736
OPN,3,0.10859680516379219,0.14498450597938228,0.1606548385837042,0.17100515285443996,0.41295969072885524,0.46788420663084707
OPN,4,0.12066945498330252,0.13594964864302655,0.1431114242806349,0.1555302207316946,0.32769406570795606,0.38703438905552967
CON,0,0.14415159026781718,0.1758416470013508,0.17325928718042477,0.21650932553438185,0.48030048950830245,0.7500206056375457
CON,1,0.15168895588980777,0.12602084781847844,0.19059888680405362,0.15534961890483598,0.5812469704151109,0.38613606585125787
CON,2,0.1167138279808892,0.13830410736758694,0.1482002746166084,0.17431783466000517,0.3514131423430102,0.4861873196888463
CON,3,0.18353520853178842,0.19420320387600232,0.22971420346743093,0.24072508465949713,0.8442978433189163,0.9271770634294302
CON,4,0.13600316190719605,0.14765555741024666,0.16846751903602367,0.18125333271091099,0.4541008795224479,0.525644329900995
EXT,0,0.1905052478114764,0.15293860340199503,0.2323595216767558,0.19962399009333623,0.8638551842353133,0.6375957946270449
EXT,1,0.16562724967797599,0.17018828154826648,0.20060242057659297,0.21298212863320026,0.6438613120135137,0.7257821877112856
EXT,2,0.21482354111141627,0.18673047879520727,0.2509958885347719,0.23097099926856088,1.0079829747019116,0.8535616321039251
EXT,3,0.14678814581462318,0.15471859764890605,0.17669079804074125,0.1978335459080269,0.49951420979638417,0.6262097921348236
EXT,4,0.17205472700936456,0.16267384925261646,0.20843786907946005,0.20375656104352735,0.695141524262178,0.6642677800124547
AGR,0,0.10997419801023273,0.13595961820917063,0.14039171570674575,0.17184192497092707,0.3153573414253395,0.47247435477322297
AGR,1,0.0983662360244327,0.12385777989212346,0.13381149239879636,0.1654869260255989,0.28648824796789013,0.43817476838119457
AGR,2,0.12348590804470912,0.11817391458011806,0.14841852419920998,0.15900776932997537,0.3524489332075436,0.4045355313167145
AGR,3,0.13529150867462159,0.12050739778142396,0.16934583036994624,0.15878498262279736,0.4588481642189858,0.40340273130435284
AGR,4,0.15516095338548933,0.13166505045631308,0.18225702183410727,0.1709585439576874,0.5314819450924438,0.46762917745313487
NEU,0,0.178747300306956,0.20974758810737504,0.23412443228824178,0.24759105569577272,0.8770279903036059,0.9808212854567776
NEU,1,0.1314879344900449,0.19543679338328693,0.16746903919708073,0.23092758574941435,0.44873405138134587,0.8532408005568235
NEU,2,0.15653971662124,0.1930621110865859,0.18492061224590498,0.22621640198568546,0.5471301084028237,0.8187817703424112
NEU,3,0.14983465136800497,0.20003364108452182,0.175324449375652,0.2340992049699441,0.49181860218323287,0.8768390045050068
NEU,4,0.13760986392838614,0.2044161257289705,0.164318814224743,0.23846565787278892,0.4320107811713976,0.9098539174280216
