trait,facebook_avg_mae,pan15_avg_mae,facebook_avg_rmse,pan15_avg_rmse,facebook_avg_mse,pan15_avg_mse
OPN,0.1141740407043033,0.14327097432143027,0.1494923471827419,0.16647015963307296,0.3585387783988502,0.4439880980949907
CON,0.1464185489154997,0.15640507269473303,0.18204803422090826,0.19363103929392622,0.5422718650215576,0.615033076901615
EXT,0.17795978228497128,0.16544996212939828,0.21381729958166443,0.20903344498933035,0.7420710410018602,0.7014834373179069
AGR,0.12445576082789708,0.12603275218382984,0.1548449169017611,0.16521602938139723,0.38892492638244053,0.4372433126457239
NEU,0.15084389334292642,0.20053925187814806,0.18523146946632452,0.23545998125472112,0.5593443066884811,0.8879073556578081
