trait,facebook_avg_mae,pan15_avg_mae,facebook_avg_rmse,pan15_avg_rmse,facebook_avg_mse,pan15_avg_mse
OPN,0.10580926580731828,0.1630994613803163,0.1462398803359144,0.19380574185702165,0.34422878042592736,0.614406191792251
CON,0.14788571370783304,0.19254413349287852,0.18881276500935357,0.2366856280092277,0.5820271605998856,0.8988004790806683
EXT,0.17727755619098273,0.15419120501904263,0.21801098933086377,0.19704483648983578,0.7794054686904982,0.6235683951276116
AGR,0.1240192946515386,0.13421752794664732,0.1557384564103516,0.17539332917386125,0.3937640183869858,0.4942979503632787
NEU,0.15407318364618316,0.19985790899821693,0.1949067438029632,0.23746204836797635,0.6121948630854129,0.9040233284728192
