trait,facebook_avg_mae,pan15_avg_mae,facebook_avg_rmse,pan15_avg_rmse,facebook_avg_mse,pan15_avg_mse
OPN,0.21426348414116125,0.12612013256319918,0.26066698902670693,0.15656162168477333,1.1105017080581927,0.3945025914683784
CON,0.18103475478531922,0.12318070154243015,0.22490675804453075,0.1520808283692934,0.811236947138612,0.3713866633401309
EXT,0.19643748564567678,0.13414286535640407,0.2481298843336443,0.1742048998846129,0.987344797950669,0.4885900743787682
AGR,0.19486586355151564,0.12196458640988983,0.24184379557004618,0.15875650975934733,0.9581680592105956,0.40463720347816484
NEU,0.19081118878323672,0.1782172643554831,0.24405903420642824,0.21395553716288504,0.9564737600632929,0.7415676422769957
