trait,facebook_avg_mae,pan15_avg_mae,facebook_avg_rmse,pan15_avg_rmse,facebook_avg_mse,pan15_avg_mse
OPN,0.12886530647758673,0.13724873155963666,0.1635784908931947,0.1641060917866291,0.43498869227089,0.43140702771261497
CON,0.16020534661261976,0.1529102489696879,0.209406248418991,0.1881149283011695,0.7076687140631277,0.583617244420208
EXT,0.18839299833443984,0.1882296346442229,0.23215884696008607,0.23070009376126208,0.872548668766411,0.8652058354574945
AGR,0.14422570373270693,0.13377896855477572,0.18380645990085384,0.17251352430714986,0.5432844306634849,0.47703739141118673
NEU,0.15605475197539612,0.19850937030347837,0.19655409786874506,0.23694105684863329,0.6261287205454984,0.8988882164319187
