trait,fold,facebook_mae,pan15_mae,facebook_rmse,pan15_rmse,facebook_mse,pan15_mse
OPN,0,0.11588289048936634,0.15094817824104206,0.15621098552302712,0.1723424665619855,0.39042997533006607,0.4752308087831293
OPN,1,0.11708349168300629,0.14714378840258335,0.14665874777290352,0.1713347113909649,0.3441406318349965,0.4696893442319489
OPN,2,0.10181082857979667,0.13594919463404181,0.1364438420931294,0.15651393950007741,0.2978707678920284,0.39194581085258823
OPN,3,0.11121994904109411,0.14719403880794035,0.15774013514391833,0.1706785792105143,0.398111187248996,0.4660988447115798
OPN,4,0.11640990373066491,0.14028496202968416,0.1372219113071304,0.15994426631472525,0.30127765552407393,0.40931469625893974
CON,0,0.13585132906834285,0.14254293930368359,0.16807870236927422,0.18115290697412664,0.45200720651666576,0.5250620106465496
CON,1,0.15186215374204845,0.12611848144304183,0.19422742790376682,0.15412564317116914,0.603588700001807,0.38007542212682477
CON,2,0.1244934560192956,0.13244611247867144,0.15812412563015438,0.16664190294704692,0.4000518257008135,0.4443123810850079
CON,3,0.1956368548529489,0.14411014119784038,0.24848178893066572,0.18090496589826255,0.9878911908829425,0.523625707530783
CON,4,0.13130510238238743,0.12984256890355325,0.17048232015374706,0.15727422370269567,0.46502754196134666,0.3957629030605689
EXT,0,0.1861172220773167,0.17190407013812034,0.23531137618594458,0.21652374795241328,0.8859431241516503,0.7501205336582554
EXT,1,0.16714377098613314,0.16711877099916236,0.20420564534886868,0.20939589477197304,0.6671991340074861,0.7015462502986484
EXT,2,0.21176812373929554,0.1726862686223724,0.24701191946059636,0.2144089005995025,0.9762382237868843,0.7355388252471635
EXT,3,0.13594454867499217,0.15796967481269317,0.16904424016966937,0.2031026056739755,0.45721528215265395,0.6600106933391363
EXT,4,0.17665239599772864,0.1518553808432858,0.21365015030593426,0.1951430354972134,0.7303421876119728,0.609292869235792
AGR,0,0.12256904158327313,0.12637914147506762,0.14702792409769636,0.16420892344877794,0.3458753674316474,0.43143312864330585
AGR,1,0.11054006781842973,0.12294975886134063,0.15300566498478474,0.16585960184175172,0.37457173627897894,0.440150520109453
AGR,2,0.12472297330697378,0.12052815365953509,0.14759409617417138,0.15742058290940916,0.3485442756075289,0.39649983877661055
AGR,3,0.1370918209893363,0.11879377316455451,0.1733915342623292,0.1549529334360974,0.48103398646151174,0.38416658617029814
AGR,4,0.1515626901899065,0.12104618415540577,0.18589708233537697,0.1616450321577948,0.5529236035328948,0.41806586274071206
NEU,0,0.17603505171007583,0.21033909247846022,0.2300153298325527,0.24485841848384277,0.8465128299172248,0.9592903365923899
NEU,1,0.13371647434102163,0.1949080230832911,0.16740465402917484,0.22927144352221893,0.4483890902484554,0.841046320450335
NEU,2,0.16291130918595526,0.19413485239152198,0.19186825022030732,0.23007046930047872,0.5890147379499827,0.8469187281369758
NEU,3,0.14427413984707424,0.19086802421378443,0.17335391873281072,0.22576670267194365,0.48082531012712065,0.8155296491032435
NEU,4,0.13469204132897517,0.2085040601337848,0.1655234859323817,0.24425384789435656,0.4383683791297981,0.9545590684320402
