trait,facebook_avg_mae,pan15_avg_mae,facebook_avg_rmse,pan15_avg_rmse,facebook_avg_mse,pan15_avg_mse
OPN,0.11415320228659917,0.1511865846234925,0.1528249863629771,0.17851310709155938,0.3741448089384431,0.51206254608551
CON,0.14834818654779405,0.16731587906273043,0.19210688871733636,0.2083389822900529,0.6030652834968194,0.6950112033278278
EXT,0.18576491442710635,0.16255220072204563,0.23131752105921732,0.20473038917292538,0.8578421023641999,0.6745522515750972
AGR,0.13633195957096794,0.13270788486717508,0.17186450723940877,0.17300325670977063,0.48354302451684283,0.4797306444906583
NEU,0.1562678731900359,0.2076568079846246,0.19908112210092338,0.2494781670637461,0.64144703766601,0.9980015257068999
