trait,facebook_avg_mae,pan15_avg_mae,facebook_avg_rmse,pan15_avg_rmse,facebook_avg_mse,pan15_avg_mse
OPN,0.1539071280232976,0.10523182732190814,0.18460052554568188,0.12585646524694527,0.5455782446406564,0.255000180408368
CON,0.1521219760246491,0.1102306908888123,0.1913132974699288,0.13615766315010422,0.5859203516018133,0.29887988213351047
EXT,0.17879320545812674,0.11368872423955115,0.21734878028727925,0.1473353781683994,0.7560123273581929,0.34945401020801664
AGR,0.14024693745173766,0.10722467687692924,0.17206178748946743,0.14189998314243776,0.4739467475608512,0.32338176317409806
NEU,0.1783157203405091,0.15893352736125108,0.2181482944140011,0.19266369636432884,0.7617807970086461,0.5994566248090606
