trait,fold,facebook_mae,pan15_mae,facebook_rmse,pan15_rmse,facebook_mse,pan15_mse
OPN,0,0.14491054719753482,0.092426165887865,0.1758477065181675,0.1156217534971239,0.49475865393159474,0.21389423030512042
OPN,1,0.15828136330240228,0.1041804806660798,0.18850529723215478,0.12490754120254918,0.5685479577325195,0.2496303095863621
OPN,2,0.1657739702771219,0.11353606137178715,0.1942050870350222,0.13143018759139458,0.6034498492662083,0.27638231579624334
OPN,3,0.15892859796459755,0.11423861839003485,0.1888176955971214,0.13633780482526342,0.5704339567486458,0.2974079567619981
OPN,4,0.16653762773181613,0.11888814219113056,0.19798270190715347,0.14004170954067952,0.6271544022932134,0.31378690192183284
CON,0,0.14851412978065148,0.09274299316487072,0.18861496046411183,0.12352326947847815,0.5692096529740555,0.24412796154385646
CON,1,0.15380714775471205,0.1119794005054539,0.1920093890006927,0.13057207572752316,0.5898816929099138,0.2727850565738201
CON,2,0.14628453449586803,0.09828706454422514,0.1860005685536898,0.12726387934666364,0.5535393844945489,0.25913752672085744
CON,3,0.14713316798210146,0.12679171845064327,0.18631789452791758,0.15719040140904747,0.5554297283269999,0.39534115728381825
CON,4,0.1540935378128223,0.10753872168475186,0.19316447242075593,0.13352997962910879,0.5970002183426104,0.2852840847718095
EXT,0,0.17980570122097314,0.10461793653035568,0.21754492119849586,0.13696103206929452,0.7572126767166669,0.300133188887781
EXT,1,0.18152749928865541,0.11873745958683854,0.21955850207063943,0.14777509725559418,0.7712949747380559,0.3493996713419364
EXT,2,0.18199579814846598,0.10319275573148567,0.21848289588554418,0.13672055182632606,0.7637564146082745,0.2990801259838108
EXT,3,0.18153081467982088,0.10555939492532763,0.21979031754918377,0.14071755992002039,0.7729245391617483,0.3168229093660325
EXT,4,0.17682438404372572,0.13126788642899745,0.2160780906451126,0.16442000506141857,0.7470358636959906,0.43254302122341676
AGR,0,0.13884913828935516,0.11125698756363432,0.1716232122692407,0.1517284157523673,0.4712724322336991,0.36834419434757165
AGR,1,0.14875154670704616,0.11000354380930885,0.1832936644497186,0.14947511399933586,0.537545080873194,0.35748495977540407
AGR,2,0.14452515051605996,0.10572045415134752,0.17819302839416204,0.14336858332720326,0.5080440858925221,0.3288727998055775
AGR,3,0.13845151342702716,0.09854099528264192,0.17073884288576477,0.13540426372432093,0.46642803913837944,0.29334903415560726
AGR,4,0.14267461636093226,0.107038587845605,0.17278831370409295,0.13356760142327426,0.47769282164326454,0.28544487332376783
NEU,0,0.16799996223677413,0.19370127947274912,0.20685029351986067,0.23282058564414876,0.6845926928087467,0.8672867970443621
NEU,1,0.17989719405937732,0.17214697129645595,0.21997021049435703,0.21309189827296504,0.7741903128528556,0.7265305047883094
NEU,2,0.18068931191155083,0.13499745246717487,0.22348658761747717,0.17097674959158127,0.7991400905521148,0.46772878067265655
NEU,3,0.20020215386252724,0.1810542451375622,0.253976656797639,0.22414233125292052,1.0320663008598578,0.8038365484981708
NEU,4,0.17676104829217612,0.14967296981605993,0.21384653968772568,0.18688877889253264,0.7316854775895776,0.5588386691935551
