trait,fold,facebook_mae,pan15_mae,facebook_rmse,pan15_rmse,facebook_mse,pan15_mse
OPN,0,0.14953962924775113,0.1002418217012438,0.18058163714215825,0.11825093763187107,0.5217556247789846,0.22373255019263014
OPN,1,0.166268425965577,0.0984586834907532,0.19669255092898671,0.12489069495768815,0.6190073508463837,0.24956300321824468
OPN,2,0.14459350958299103,0.10600937978696016,0.17571772419091256,0.1266847242961013,0.4940274968475111,0.2567843044059915
OPN,3,0.14253160577141838,0.10711096909086584,0.17282884566492845,0.12958138673442848,0.47791696127685085,0.26866136003700153
OPN,4,0.13585389994503408,0.10992224730294328,0.16850061478976816,0.13058475342357417,0.45427930183969834,0.27283805956199925
CON,0,0.1470928527398056,0.1019014474699053,0.18641827194736918,0.13034692168959058,0.5560283528287712,0.2718451210432879
CON,1,0.15930970189276705,0.10428583359314227,0.20161570581778712,0.12481856237453501,0.6503823015412458,0.2492747863368612
CON,2,0.14812399501211188,0.09722233444957411,0.18831122453408133,0.12790713958319797,0.5673778765684031,0.261763796072322
CON,3,0.15062660960668928,0.12400362350172915,0.1905007667824097,0.15633833306228476,0.5806486743149768,0.391066790155102
CON,4,0.1498744077628918,0.10618592027960154,0.1881539741107631,0.13515297868378462,0.5664306898265107,0.2922612423535925
EXT,0,0.17473999036162086,0.10987406564971149,0.2161044398916667,0.13924220885995842,0.7472180650863115,0.31021428130410544
EXT,1,0.17999071534430044,0.10764759415287084,0.21895834185849036,0.13443406866757998,0.7670840891130902,0.2891603195417917
EXT,2,0.18128614682160066,0.09823983675342496,0.2207078268676606,0.13717538277044763,0.7793911174213402,0.30107338420253715
EXT,3,0.18381532790955535,0.10253318608817409,0.22184776774462825,0.13691479490416109,0.7874629119727825,0.2999305775421297
EXT,4,0.17546439876047412,0.12702596948064607,0.2149070668234956,0.161453572256597,0.7389607601044136,0.41707607384521306
AGR,0,0.1458518702260564,0.10943271426831261,0.1850765431427824,0.1531509614289575,0.5480532179362803,0.3752834610266072
AGR,1,0.13606854149464812,0.10549234081122835,0.1706731040040287,0.14420918083713946,0.46606893488591994,0.33274061262212473
AGR,2,0.1408720450923684,0.1062320155612493,0.173711354933433,0.1406892980501818,0.48281015516123554,0.3166956471464291
AGR,3,0.13811178303836438,0.10103032386909096,0.17252027660190614,0.13520033649508315,0.47621193158158365,0.2924660928953618
AGR,4,0.13865507554472162,0.10134805995842507,0.1703016667484926,0.1303689149702877,0.4640425231570341,0.2719368562208026
NEU,0,0.18127050185136584,0.18925307014230958,0.22000444576537087,0.22117890753561,0.7744312967563254,0.7827217392449021
NEU,1,0.17159951677148264,0.16551048369225815,0.2090810911681637,0.1967794321751128,0.6994384218410553,0.6195543515288039
NEU,2,0.18421946435497044,0.13027123089058923,0.2222130085548925,0.16699433300025046,0.7900579399088551,0.44619371976373245
NEU,3,0.19493897488277948,0.16402298823251563,0.24241136364416654,0.20397476884610966,0.9402122954478616,0.6656912766953761
NEU,4,0.18212921665960483,0.14687986249296828,0.22393483674132253,0.19166330684957217,0.8023489841400667,0.5877571477782486
