trait,facebook_avg_mae,pan15_avg_mae,facebook_avg_rmse,pan15_avg_rmse,facebook_avg_mse,pan15_avg_mse
OPN,0.11364416820170387,0.14638865997191192,0.1485362392702452,0.16755319450802314,0.3540910654047366,0.4498821430097548
CON,0.1452578966140747,0.1293045311071435,0.18708949232486122,0.16142896285982905,0.5744909639678198,0.417716608393728
EXT,0.17193180713918474,0.14741417328516643,0.21089708473857954,0.18693517760056538,0.7197465532651679,0.5630994688158564
AGR,0.13203638815387844,0.12124276975385184,0.1617885787900038,0.16179248572415378,0.4232654913234654,0.4191088912769012
NEU,0.14939222420718934,0.19737493309439447,0.18460925811573936,0.23243488616473001,0.5542543266787355,0.8647413201051519
