trait,fold,facebook_mae,pan15_mae,facebook_rmse,pan15_rmse,facebook_mse,pan15_mse
OPN,0,0.14171725259508403,0.17272891304930865,0.18968520808681044,0.20308140043870643,0.5756876061903184,0.6598728804096389
OPN,1,0.10464280652999877,0.1362403960049558,0.1386023438708705,0.17846756482832718,0.30736973744953605,0.5096107472516019
OPN,2,0.12187463837511396,0.14821303576028266,0.16154702198540233,0.17076581683028086,0.4175590315498643,0.46657542888068476
OPN,3,0.13139201669132006,0.13851444307638675,0.17455059474850187,0.16077582432358747,0.4874865678848984,0.41358185568547384
OPN,4,0.12413883384536292,0.15131650737353736,0.16436207045902365,0.176599774311106,0.4322382200503037,0.4989996870610345
CON,0,0.11957725078719003,0.14375705487874088,0.14810051694035234,0.1814849781064458,0.35094019667512155,0.5269887578008952
CON,1,0.1545377139023372,0.1437646186676155,0.205395394950107,0.18544609140571042,0.6749963053192036,0.5502440378236965
CON,2,0.13534411360235776,0.12740697662035624,0.16521091208365102,0.1601466507532485,0.4367143066244337,0.4103511986479025
CON,3,0.14510370847056894,0.1317205259994585,0.1988156237204022,0.1616269000249377,0.6324424530186796,0.417972072085321
CON,4,0.17485616158036624,0.1473550881252808,0.2248478107157266,0.1781308767536079,0.8089046360439686,0.5076897538620567
EXT,0,0.17377859728676937,0.16026759605829405,0.22053764643887466,0.20480347361256995,0.7781896559487692,0.671111404860394
EXT,1,0.18202079224586487,0.1383470330919538,0.21369234473868814,0.17619221671221064,0.7306306966659523,0.4966991562110957
EXT,2,0.18013879172942218,0.14246032284636076,0.23570474980562478,0.17949203458394955,0.8889076683985505,0.5154782488710259
EXT,3,0.15537241837557628,0.1543166433670083,0.18471473536570632,0.1970904137401328,0.5459125334363834,0.6215140977705282
EXT,4,0.20536983195473169,0.15064602463829274,0.2486754541808775,0.19129933626313758,0.9894316838220142,0.5855269835879839
AGR,0,0.15013203477859496,0.17985613913763138,0.19059692121906716,0.22433574080311305,0.5812349880471228,0.8052243425060484
AGR,1,0.13519389884812494,0.12788164056077297,0.18398208443344277,0.16623650171759594,0.5415905199634198,0.4421531926513739
AGR,2,0.1355196753319572,0.12409828556638185,0.18353494832173262,0.16364692936085942,0.5389612329618158,0.42848508246666256
AGR,3,0.12830185301163619,0.11939312385863998,0.1604291734972082,0.1586059457290752,0.4118003153439572,0.40249353738701876
AGR,4,0.12607928710825303,0.12709385377614676,0.16243534443200525,0.1664325226454467,0.42216385793190686,0.443196554644095
NEU,0,0.16950189447402955,0.19706157103282254,0.21003792789428574,0.23504337109989862,0.7058548485238321,0.8839262033208107
NEU,1,0.15765013391630991,0.20362735323759978,0.19820428644642837,0.243658868995069,0.6285590191323305,0.9499143233582278
NEU,2,0.17050691313603347,0.20688436874727004,0.21097980522106902,0.2488909338790497,0.7121996548413042,0.9911471514576862
NEU,3,0.12847598666653914,0.18936133311719314,0.15584563777893645,0.22895302377547044,0.3886058065507394,0.83871178717185
NEU,4,0.13366451848955715,0.18945869192176937,0.17626083860648056,0.22646746711411644,0.49708612140602926,0.8206002195193826
