trait,facebook_avg_mae,pan15_avg_mae,facebook_avg_rmse,pan15_avg_rmse,facebook_avg_mse,pan15_avg_mse
OPN,0.11473406381720588,0.1430462172242249,0.14741491653137456,0.1666062152912045,0.34924366895310777,0.4454906923663196
CON,0.14429050391212345,0.1298700391556941,0.18297340929542308,0.16303394910628186,0.5505624155548487,0.42613437083759875
EXT,0.17176084400888475,0.1462457821279967,0.20958584369151628,0.18890163776369456,0.7122835176536298,0.572967880724517
AGR,0.12477877619455731,0.12312228724259097,0.15500232099295733,0.16209951622001417,0.38993423743570244,0.4205406177442733
NEU,0.1488138841706609,0.19939289870310803,0.18576888345279652,0.23369870354955222,0.5617478225316173,0.8743814038071077
