trait,facebook_avg_mae,pan15_avg_mae,facebook_avg_rmse,pan15_avg_rmse,facebook_avg_mse,pan15_avg_mse
OPN,0.1675802609706193,0.12207443107574885,0.19620674503018457,0.14314827473208722,0.6195904691225245,0.3284091341948091
CON,0.15517802289630592,0.12150959764218068,0.1962893593621935,0.14669663323151197,0.618520682388575,0.345180949563341
EXT,0.17600842426332197,0.1233733480454606,0.2139069666235823,0.16040474899767587,0.7321021327489714,0.41278095085785377
AGR,0.1376626943470387,0.11623315983944509,0.16811846105101294,0.1541741008010856,0.45269091362216846,0.382491196887229
NEU,0.16796281080969266,0.18314647563642264,0.21087477974147623,0.21868976292236736,0.7127105412903953,0.7812133971712709
