trait,facebook_avg_mae,pan15_avg_mae,facebook_avg_rmse,pan15_avg_rmse,facebook_avg_mse,pan15_avg_mse
OPN,0.10645888878693657,0.14795223896195292,0.14374576596463606,0.1733398383301989,0.3321307335888146,0.48242724008577714
CON,0.1414770728372392,0.1731643695247417,0.17713054057748628,0.21347647191403984,0.5188902111492596,0.7307996764253835
EXT,0.18053577188518316,0.1585391187262373,0.21913409125016664,0.2015809374512068,0.7820768622748446,0.6558812424618484
AGR,0.12411284737435599,0.12437723595268872,0.15471548935610394,0.16368714082020383,0.38740248942203825,0.42902449280667154
NEU,0.14854017303992834,0.20670869768274075,0.18635478758517726,0.2431884681271462,0.5628374832658097,0.9502515768040702
