trait,fold,facebook_mae,pan15_mae,facebook_rmse,pan15_rmse,facebook_mse,pan15_mse
OPN,0,0.10937466263771058,0.15866394505208856,0.15453816168933773,0.18639950961818996,0.38211271650943773,0.5559164431889331
OPN,1,0.10921116020944384,0.15448723877368334,0.14359569761645913,0.18239792960725684,0.32991560782900786,0.5323040895335492
OPN,2,0.09568511029084524,0.13846472100335724,0.13209156109182724,0.1620114680470116,0.27917085659646973,0.4199634567582203
OPN,3,0.1080161772455488,0.14019385547865004,0.15483000229987356,0.16139260372775982,0.3835572213509347,0.41676116568123833
OPN,4,0.11000733355113439,0.1479514345019853,0.13367340712568265,0.1744976806507762,0.2858972656582232,0.4871910452669451
CON,0,0.13831307192643483,0.17086385346594313,0.16523180470971824,0.21103578026912584,0.4368247886020875,0.7125776008246869
CON,1,0.14674106107817753,0.16588697411170625,0.1887333889348086,0.20370072042701518,0.5699246735810836,0.6639037383651023
CON,2,0.10644486202134028,0.16306809580244988,0.1329483104993845,0.20271144823822523,0.2828040432029933,0.6574709033803788
CON,3,0.17922780564853122,0.18568144321036179,0.23146026821430946,0.2289918827617009,0.8571816798843004,0.8389965135103415
CON,4,0.13665856351171218,0.18032148103324735,0.16727893052921067,0.22094252787413202,0.44771587047583383,0.7810496260464073
EXT,0,0.20262699292765726,0.1371044133796173,0.24387594913881208,0.17764438618140932,0.9516076570937031,0.5049204477432295
EXT,1,0.1712725016143587,0.18447952083989877,0.20793313880901637,0.23002979635270612,0.6917790434395147,0.8466193153610791
EXT,2,0.21872163206338885,0.1699711251218303,0.2582381421252758,0.21418520654078577,1.0669910014055324,0.7340048352044988
EXT,3,0.13371917826788768,0.1455846370888405,0.1748147107098417,0.18592107886616854,0.48896292928905033,0.553066361068161
EXT,4,0.17633855455262323,0.1555558972009996,0.21080851546788743,0.20012421931496419,0.7110436801464222,0.6407952529322736
AGR,0,0.112011917564604,0.13406845754912108,0.1388193239209251,0.1717117378275465,0.3083328751018036,0.47175873424156306
AGR,1,0.1027772820658154,0.12019280985910065,0.14019812531258682,0.16005081304699412,0.3144882294586208,0.40986020411206175
AGR,2,0.12261095689402686,0.12107711924987584,0.14689704170393733,0.15947239124513235,0.3452598537818929,0.4069030971110491
AGR,3,0.12977165739876886,0.12232791623290704,0.16597486875403314,0.16168236533531744,0.4407625129266964,0.41825899616676887
AGR,4,0.15339242294856478,0.12421987687243896,0.1816880870890373,0.16551839664602877,0.5281689758411776,0.43834143240191503
NEU,0,0.16562190883689457,0.22215689457192717,0.22502826970020748,0.2622901362281741,0.8102035127255038,1.1007378618326407
NEU,1,0.136759623421563,0.19174080355232268,0.17175512449336247,0.22786772339132,0.47199715178271057,0.830779189034665
NEU,2,0.15933841463592321,0.19768175763540527,0.1909121914468823,0.23183902587146032,0.5831594648909004,0.859989352387236
NEU,3,0.15050007983616423,0.19667538451094208,0.17934497939028768,0.2312658616875732,0.5146339693586389,0.8557423771585704
NEU,4,0.13048083846909658,0.22528864814310662,0.16473337289514636,0.2626795934572033,0.4341933175712948,1.1040091036072388
